Minutes,Players
1,"Atencia,Hansel"
4,"Wells,Nate"
2,"Burton,Joe"
1,"Bitting,Ty'Quan"
1,"Rogers,Nick"
1,"Sadlon,Hunter"
1,"Turnage,Xavion"
2,"O'Field,Maurice"
2,"Chambers,Kamali"
1,"Milligan,Boo"
2,"Gibson,Ty"
1,"Love,Lionel"
4,"Douglas,Michael"
1,"Perrin,Casey"
4,"Romich,Drew"
1,"Smith,Charles"
1,"Belton,Isaac"
2,"Auslander,Kent"
1,"Allen,Nate"
1,"Jones,Martin"
1,"Driscoll,Chase"
1,"Poole,Will"
1,"Cambre,Cody"
1,"Zemgulis,Deividas"
3,"Twombly,Brady"
2,"Gonzalez,Kyle"
1,"Lydon,Chris"
1,"Sunahara,Rex"
1,"Temkin,Rory"
1,"Fortin,Marc Andre"
2,"Spicer,Johnathan"
4,"Wilridge,E'Torrion"
4,"Stroman,Marcus"
1,"Martin,Jeremiah"
2,"Aflakpui,Ernest"
1,"Ottman,Damion"
1,"Julien,Courtney"
1,"Dalton,Keifer"
2,"Davis,Jackson"
2,"Henderson,Malcolm"
2,"Oliver,T.J."
1,"Haus,David"
1,"Foschia,Nick"
1,"Rhoden,Dondre"
1,"Campbell,Ountae"
1,"Shell,Grant"
3,"Moesch,Aaron"
1,"Schlundt,T.J."
1,"Lukashewich,Mike"
6,"Schurman,John"
1,"McNamara,Pat"
4,"Burgett,Austin"
1,"Geben,Martinas"
1,"Obasohan,Justice"
1,"Bost,Drew"
1,"Robbins,Peyton"
1,"David,Justin"
1,"Gavrilovic,Strahinja"
1,"Grace,Ben"
9,"Mitchell,Kameron"
7,"Thrower,Deshaun"
1,"Budrys,Domas"
2,"Henderson,Markell"
1,"Hansbrough,Tre"
1,"Ward,C.J."
2,"Urso,David"
1,"Sinnickson,Dylan"
6,"Frederick,Andre"
1,"Bowman,Greg"
3,"Ulvydas,Rokas"
1,"Norman,Dane"
1,"Taylor,Doug"
4,"Pierre,Josh"
2,"Walker,Jonathan"
2,"Allison,Zach"
1,"Blackstock,Cole"
5,"Rakicevic,Nikola"
4,"Smith,Josh"
3,"Matthews,Charles"
